T_begin,T_eind,FI_rate,FI_rate_med,FI_rate_high
0,1,0.644318182,0.373198847,0.635675676
1,2,2.147727273,2.239193084,1.801081081
2,3,1.610795455,1.172910663,1.377297297
3,4,1.18125,1.439481268,0.847567568
4,5,0.859090909,1.226224784,1.483243243
5,6,0.805397727,0.959654179,0.741621622
6,7,0.698011364,0.479827089,0.953513514
7,8,0.590625,0.959654179,0.741621622
8,9,0.751704545,0.639769452,0.582702703
9,10,0.375852273,0.479827089,0.635675676
10,11,0.966477273,0.853025937,1.218378378
11,12,2.899431818,1.919308357,2.224864865
12,13,0.912784091,0.746397695,0.900540541
13,14,1.020170455,1.386167147,0.847567568
14,15,0.590625,0.746397695,0.794594595
15,16,0.268465909,0.426512968,0.317837838
16,17,0.322159091,0.319884726,0.423783784
17,18,0.483238636,0.479827089,0.741621622
18,19,0.429545455,0.426512968,0.847567568
19,20,0.536931818,0.53314121,0.423783784
20,21,0.214772727,0.266570605,0.370810811
21,22,0.107386364,0.106628242,0.211891892
22,23,0.161079545,0.106628242,0.158918919
23,24,0.322159091,0.213256484,0.317837838
