DMI,c_DM,NDF,St,Sr,WSC,Acin,Prin,Buin,Lain,k_SdHe,k_FdHe,k_PdPs,k_WrHe,c_3NOP,c_For,Paper
22.5,0.393,315.1915877,125.20302,48.18110546,91.48899852,5.79,0.965,0.965,11.58,0.081007034,0.041631713,0.053182881,14,0,0.662,Wesemael
21.3,0.393,315.1915877,125.20302,48.18110546,91.48899852,5.79,0.965,0.965,11.58,0.081007034,0.041631713,0.053182881,14,0.000620805,0.662,Wesemael
22.3,0.396,315.1915877,125.20302,48.18110546,91.48899852,5.79,0.965,0.965,11.58,0.081007034,0.041631713,0.053182881,14,0.000592966,0.662,Wesemael
19.2,0.395,319.7983333,168.802304,66.30902933,60.13133333,5.4,0.9,0.9,10.8,0.081763353,0.036651244,0.070925552,14,0,0.599,Haisan2017
18.3,0.395,319.7983333,168.802304,66.30902933,60.13133333,5.4,0.9,0.9,10.8,0.081763353,0.036651244,0.070925552,14,0.000564512,0.599,Haisan2017
18.9,0.523,319.7983333,168.802304,66.30902933,60.13133333,5.4,0.9,0.9,10.8,0.081763353,0.036651244,0.070925552,14,0.001093183,0.599,Haisan2017
24.1,0.462,202.2798083,215.00392,86.10441333,82.68333333,2.7405,0.45675,0.45675,5.481,0.076880142,0.04195517,0.052112943,14,0,0.555,Lopes
24.8,0.462,202.2798083,215.00392,86.10441333,82.68333333,2.7405,0.45675,0.45675,5.481,0.076880142,0.04195517,0.052112943,14,0.000495868,0.555,Lopes
28,0.5,206.6,218.9,84.1,76.8,2.709,0.4515,0.4515,5.418,0.075453496,0.038927005,0.049264095,14,0,0.607,Hristov
28,0.5,206.6,218.9,84.1,76.8,2.709,0.4515,0.4515,5.418,0.075453496,0.038927005,0.049264095,14,0.000330579,0.607,Hristov
27.7,0.5,206.6,218.9,84.1,76.8,2.709,0.4515,0.4515,5.418,0.075453496,0.038927005,0.049264095,14,0.000495868,0.607,Hristov
27.5,0.5,206.6,218.9,84.1,76.8,2.709,0.4515,0.4515,5.418,0.075453496,0.038927005,0.049264095,14,0.000661157,0.607,Hristov
19.7,0.5,271.4579167,193.857878,80.21078867,73.99066667,3.411,0.5685,0.5685,6.822,0.089455574,0.04630076,0.066350853,14,0,0.379,Haisan2014
19.3,0.5,271.4579167,193.857878,80.21078867,73.99066667,3.411,0.5685,0.5685,6.822,0.089455574,0.04630076,0.066350853,14,0.001070526,0.379,Haisan2014
